department,0,1
 ,6,0
 	Corporate Shared Services,0,1
 Lower Level Management,1,0
 Marketing ,1,0
 Moni Technologies,1,0
 R&D,1,0
(Consultant),1,0
(missing),11016,531
.NET,1,0
.net Development,1,0
0,1,0
1221,0,1
130 - Nutritional Yeast Packaging,1,0
1411,0,1
20,1,0
20131101,1,0
30517,1,0
3D Art,1,0
4,1,0
49,1,0
5,1,0
"6 locations in the United States, 3 in Canada and 1 in UK",1,0
640 Labs,1,0
@ ecgstudio | process improvement specialists,2,0
A Techstars Company,2,0
ACCOUNTING ,1,0
ACCT,0,1
ACES,1,0
ACT,1,0
ADMIN,0,1
ADS,1,0
AFS12,3,0
AFS13,2,0
AFS14,3,0
AFS16,2,0
AFS18,2,0
AFSAU,1,0
AFSCC,4,0
AFSDT,4,0
AFSDTV,1,0
AFSHAR,1,0
AFSHO,2,0
AFSHON,2,0
AFSHOT,2,0
AFSMCA,1,0
AFSSA,5,0
AGENCY CONFIDENTIAL,5,0
ALM Practice,1,0
AMG,1,0
AMHS,5,0
AML,2,0
ANDROIDPIT,1,0
APP MEDIA,1,0
AR,2,0
AX 20140308/09 (2),1,0
Aberdeen ,3,0
Academic,1,0
Account,3,4
Account Handling,1,0
Account Management,13,0
Account team,2,0
Account/finance,0,2
Accountant,1,0
Accounting,27,2
Accounting & Finance,4,0
Accounting / Finance,1,0
Accounting and Finance,2,0
Accounting/Finance,3,2
Accounting/Payroll,0,6
Accounts,6,0
Acquisitions and Divesments,1,0
Ad Sales,2,0
AdOps,1,0
AdYapper,1,0
Addy,1,0
Admin,19,0
Admin - Clerical,0,1
Admin/Clerical,0,3
Administration,27,1
Administration ,1,0
Administration support,0,2
Administrative,16,14
Administrative ,1,0
Administrative Dept,0,1
Administrative Office,1,0
Administrator ,1,0
Advertising,4,0
Advisory,1,0
Advisory Department,1,0
Aerospace and Defense Engineering Services,1,0
Affiliate Marketing,1,0
Africa Program,2,0
African Program,8,0
Agency Systems,1,0
Agriculture,1,0
Aker Solutions Inc.,0,1
All,16,0
All Companies,1,0
An Impact Engine Company,1,0
Analyst,1,0
Analytics,8,0
Analytics & UX,1,0
Ancillery Revenue,1,0
Android,5,0
Android ,1,0
Android Developer,1,0
Animal Control,2,0
Animation,7,0
Anti-Virus Software,1,0
App,1,0
App Delivery,2,0
App Dev,3,0
App Development,2,0
Appear Here,2,0
Application Development,5,0
Approvals Department,2,0
Apps,5,0
Aptris,1,0
Arc Int.,1,0
Architect,1,0
Argo Platinum,1,0
Art,7,0
Art Fairs,1,0
Art Studio,11,0
Art and Design,1,0
Asset Management,3,0
Assistant,1,0
Athletics,1,0
Audiology,1,0
Auto Sales,1,0
Automotive,1,0
Automotive and Parts Mfg,1,0
B2B,1,0
BCFB,1,0
BD,4,0
BDC,9,0
BDVPS,1,0
BI,1,0
BI Department – Applications Directorate,1,0
BIOMEDICAL EQUIPMENT TECHNICAN,1,0
BIPIO,1,0
BORN SOCIAL,1,0
Back Office,1,0
Back-End Development,1,0
Backend,1,0
Backend Developer,1,0
Bandsintown Amplified Textlinks,1,0
Banking,2,0
Berlin,1,0
Big Data,1,0
BigTime Software,1,0
Billing,2,0
Bindery,3,0
Biotech ,0,2
Birdback,2,0
Biz Dev,1,0
BizDev/Product,1,0
Blippbuilder,2,0
Board of Directors,3,0
Branch Services,2,0
Brand ,1,0
Brand and Marketing,1,0
Brandid,1,0
Broadcasting,1,0
Building,1,0
Building Services,1,0
Building and Construction ,1,0
Bulgarian Operations,1,0
Business,12,0
Business Consultancy,2,0
