function,0,1
(missing),6118,337
Accounting/Auditing,183,29
Administrative,511,119
Advertising,85,5
Art/Creative,131,1
Business Analyst,83,1
Business Development,215,13
Consulting,140,4
Customer Service,1162,67
Data Analyst,78,4
Design,337,3
Distribution,21,3
Education,324,1
Engineering,1235,113
Finance,157,15
Financial Analyst,28,5
General Business,67,1
Health Care Provider,337,1
Human Resources,196,9
Information Technology,1717,32
Legal,47,0
Management,311,6
Manufacturing,72,2
Marketing,820,10
Other,293,32
Product Management,114,0
Production,116,0
Project Management,173,10
Public Relations,75,1
Purchasing,15,0
Quality Assurance,111,0
Research,50,0
Sales,1427,41
Science,14,0
Strategy/Planning,45,1
Supply Chain,36,0
Training,38,0
Writing/Editing,132,0
