industry,0,1
(missing),4628,275
Accounting,102,57
Airlines/Aviation,62,1
Alternative Dispute Resolution,1,0
Animation,3,2
Apparel & Fashion,95,2
Architecture & Planning,10,0
Automotive,115,5
Aviation & Aerospace,24,0
Banking,81,3
Biotechnology,34,4
Broadcast Media,49,1
Building Materials,77,1
Business Supplies and Equipment,15,3
Capital Markets,5,0
Chemicals,22,0
Civic & Social Organization,54,1
Civil Engineering,8,1
Commercial Real Estate,4,0
Computer & Network Security,44,5
Computer Games,86,0
Computer Hardware,32,3
Computer Networking,32,12
Computer Software,1371,5
Construction,155,3
Consumer Electronics,62,0
Consumer Goods,62,1
Consumer Services,334,24
Cosmetics,64,1
Defense & Space,7,2
Design,125,4
E-Learning,137,2
Education Management,822,0
Electrical/Electronic Manufacturing,69,4
Entertainment,69,5
Environmental Services,46,3
Events Services,50,0
Executive Office,6,2
Facilities Services,92,2
Farming,24,0
Financial Services,744,35
Fishery,4,0
Food & Beverages,72,0
Food Production,43,1
Fund-Raising,16,0
Furniture,3,0
Gambling & Casinos,42,0
Government Administration,22,0
Government Relations,11,0
Graphic Design,32,0
"Health, Wellness and Fitness",112,15
Higher Education,11,0
Hospital & Health Care,446,51
Hospitality,74,14
Human Resources,102,6
Import and Export,5,0
Individual & Family Services,9,0
Industrial Automation,7,0
Information Services,26,2
Information Technology and Services,1702,32
Insurance,117,6
International Trade and Development,8,0
Internet,1062,0
Investment Banking,4,0
Investment Management,5,1
Law Enforcement,10,0
Law Practice,19,0
Legal Services,97,0
"Leisure, Travel & Tourism",55,21
Libraries,2,0
Logistics and Supply Chain,110,2
Luxury Goods & Jewelry,4,0
Machinery,11,0
Management Consulting,124,6
Maritime,3,0
Market Research,52,2
Marketing and Advertising,783,45
Mechanical or Industrial Engineering,33,4
Media Production,45,3
Medical Devices,18,1
Medical Practice,59,1
Mental Health Care,23,0
Military,1,1
Mining & Metals,3,0
Motion Pictures and Film,6,0
Museums and Institutions,1,0
Music,10,0
Nanotechnology,2,0
Nonprofit Organization Management,76,0
Oil & Energy,178,109
Online Media,100,1
Outsourcing/Offshoring,18,1
Package/Freight Delivery,5,0
Packaging and Containers,5,0
Performing Arts,3,0
Pharmaceuticals,42,0
Philanthropy,4,0
Photography,7,0
Plastics,3,0
Primary/Secondary Education,6,0
Printing,30,0
Professional Training & Coaching,14,0
Program Development,9,0
Public Policy,3,0
Public Relations and Communications,58,0
Public Safety,6,1
Publishing,39,0
Ranching,0,1
Real Estate,151,24
Religious Institutions,6,0
Renewables & Environment,9,0
Research,29,0
Restaurants,52,0
Retail,218,5
Security and Investigations,29,1
Semiconductors,11,0
Shipbuilding,1,0
Sporting Goods,1,0
Sports,23,0
Staffing and Recruiting,119,8
Telecommunications,316,26
Textiles,2,0
Translation and Localization,10,0
Transportation/Trucking/Railroad,50,3
Utilities,32,1
Venture Capital & Private Equity,29,0
Veterinary,8,0
Warehousing,50,1
Wholesale,10,1
Wine and Spirits,1,0
Wireless,4,0
Writing and Editing,19,0
